Date,Value
1/12/17,491692
1/11/17,541167
1/10/17,475571
1/9/17,455738
1/8/17,503340
1/7/17,562749
1/6/17,495909
1/5/17,545635
1/4/17,515023
1/3/17,529708
1/2/17,355324
1/1/17,449831
12/31/16,496024
12/30/16,512156
12/29/16,514772
12/28/16,509115
12/27/16,448557
12/26/16,353857
12/25/16,420206
12/24/16,522516
12/23/16,528878
12/22/16,540310
12/21/16,508908
12/20/16,508681
12/19/16,418498
12/18/16,458680
12/17/16,495266
12/16/16,479430
12/15/16,495472
12/14/16,498359
12/13/16,498688
12/12/16,498688
12/11/16,454665
12/10/16,465342
12/9/16,500354
12/8/16,539249
12/7/16,540804
12/6/16,548221
12/5/16,457491
12/4/16,492197
12/3/16,513735
12/2/16,485327
12/1/16,500015
11/30/16,506247
11/29/16,515310
11/28/16,454515
11/27/16,481755
11/26/16,523079
11/25/16,489272
11/24/16,505599
11/23/16,515387
11/22/16,490392
11/21/16,438202
11/20/16,476358
11/19/16,488365
11/18/16,484633
11/17/16,494246
11/16/16,514795
11/15/16,486756
11/14/16,411263
11/13/16,450559
11/12/16,444226
11/11/16,474281
11/10/16,474975
11/9/16,503015
11/8/16,483846
11/7/16,429823
11/6/16,426001
11/5/16,453192
11/4/16,457533
11/3/16,461830
11/2/16,446989
11/1/16,458880
10/31/16,360327
10/30/16,416457
10/29/16,434269
10/28/16,457806
10/27/16,431781
10/26/16,432977
10/25/16,433234
10/24/16,376683
10/23/16,392804
10/22/16,453739
10/21/16,415474
10/20/16,406991
10/19/16,435277
10/18/16,435282
10/17/16,383032
10/16/16,384627
10/15/16,423263
10/14/16,400731
10/13/16,400579
10/12/16,444786
10/11/16,421619
10/10/16,410522
10/9/16,439803
10/8/16,471181
10/7/16,497719
10/6/16,470499
10/5/16,477181
10/4/16,469732
10/3/16,396449
10/2/16,391458
10/1/16,442960
9/30/16,440834
9/29/16,433852
9/28/16,425011
9/27/16,430205
9/26/16,374974
9/25/16,369379
9/24/16,389323
9/23/16,391223
9/22/16,408180
9/21/16,419627
9/20/16,399754
9/19/16,369331
9/18/16,376568
9/17/16,377920
9/16/16,397310
9/15/16,388645
9/14/16,404798
9/13/16,401012
9/12/16,373779
9/11/16,355122
9/10/16,379259
9/9/16,399896
9/8/16,400704
9/7/16,416403
9/6/16,422792
9/5/16,347566
9/4/16,358536
9/3/16,389622
9/2/16,384065
9/1/16,392551
8/31/16,419511
8/30/16,386989
8/29/16,330360
8/28/16,364840
8/27/16,383173
8/26/16,390942
8/25/16,409928
8/24/16,398308
8/23/16,409008
8/22/16,357816
8/21/16,400866
8/20/16,403011
8/19/16,405409
8/18/16,394403
8/17/16,413844
8/16/16,384259
8/15/16,360393
8/14/16,367024
8/13/16,389496
8/12/16,408263
8/11/16,417668
8/10/16,393099
8/9/16,411266
8/8/16,345480
8/7/16,342340
8/6/16,381030
8/5/16,387986
8/4/16,403778
8/3/16,412309
8/2/16,402353
8/1/16,344751
7/31/16,364415
7/30/16,358940
7/29/16,393901
7/28/16,372678
7/27/16,403997
7/26/16,394635
7/25/16,352244
7/24/16,332946
7/23/16,368179
7/22/16,364285
7/21/16,378815
7/20/16,373620
7/19/16,384160
7/18/16,330330
7/17/16,356533
7/16/16,367739
7/15/16,367953
7/14/16,367252
7/13/16,379937
7/12/16,395742
7/11/16,325550
7/10/16,355380
7/9/16,363919
7/8/16,364414
7/7/16,373956
7/6/16,383808
7/5/16,403350
7/4/16,352911
