Date,Value
12/25/16,240820
12/24/16,304997
12/23/16,314644
12/22/16,325677
12/21/16,296473
12/20/16,284852
12/19/16,235789
12/18/16,239034
12/17/16,279361
12/16/16,282685
12/15/16,286328
12/14/16,291757
12/13/16,268662
12/12/16,268662
12/11/16,250241
12/10/16,268815
12/9/16,282711
12/8/16,311361
12/7/16,319762
12/6/16,278001
12/5/16,245650
12/4/16,287988
12/3/16,318263
12/2/16,239682
12/1/16,292654
11/30/16,294140
11/29/16,298530
11/28/16,237389
11/27/16,279374
11/26/16,315387
11/25/16,333466
11/24/16,276924
11/23/16,285635
11/22/16,287414
11/21/16,246537
11/20/16,249760
11/19/16,275925
11/18/16,277460
11/17/16,291186
11/16/16,280352
11/15/16,270506
11/14/16,221328
11/13/16,228886
11/12/16,254619
11/11/16,271374
11/10/16,270095
11/9/16,296060
11/8/16,274281
11/7/16,228420
11/6/16,242032
11/5/16,248043
11/4/16,273338
11/3/16,268418
11/2/16,246650
11/1/16,241778
10/31/16,209337
10/30/16,229689
10/29/16,250876
10/28/16,326388
10/27/16,225924
10/26/16,237030
10/25/16,226980
10/24/16,191578
10/23/16,216708
10/22/16,265355
10/21/16,270380
10/20/16,201025
10/19/16,251521
10/18/16,237232
10/17/16,197876
10/16/16,210448
10/15/16,239724
10/14/16,229703
10/13/16,235664
10/12/16,263565
10/11/16,224774
10/10/16,210548
10/9/16,250672
10/8/16,268419
10/7/16,274486
10/6/16,266811
10/5/16,264662
10/4/16,260813
10/3/16,192683
10/2/16,213930
10/1/16,250943
9/30/16,242730
9/29/16,234995
9/28/16,243008
9/27/16,230769
9/26/16,197298
9/25/16,210510
9/24/16,223187
9/23/16,231227
9/22/16,239216
9/21/16,247987
9/20/16,223540
9/19/16,191603
9/18/16,215529
9/17/16,213142
9/16/16,233488
9/15/16,231800
9/14/16,241215
9/13/16,208649
9/12/16,180391
9/11/16,193320
9/10/16,222094
9/9/16,227006
9/8/16,250809
9/7/16,232118
9/6/16,227683
9/5/16,183244
9/4/16,182204
9/3/16,225856
9/2/16,238207
9/1/16,226377
8/31/16,254486
8/30/16,225282
8/29/16,174489
8/28/16,191098
8/27/16,226767
8/26/16,234009
8/25/16,237956
8/24/16,239021
8/23/16,229801
8/22/16,184904
8/21/16,210352
8/20/16,246095
8/19/16,239541
8/18/16,238003
8/17/16,256447
8/16/16,202896
8/15/16,200577
8/14/16,217257
8/13/16,232973
8/12/16,254515
8/11/16,245581
8/10/16,233704
8/9/16,236291
8/8/16,192414
8/7/16,196551
8/6/16,228244
8/5/16,231835
8/4/16,245549
8/3/16,252252
8/2/16,225049
8/1/16,192254
7/31/16,199484
7/30/16,231414
7/29/16,236946
7/28/16,235603
7/27/16,237673
7/26/16,240533
7/25/16,186521
7/24/16,195796
7/23/16,221404
7/22/16,217606
7/21/16,227429
7/20/16,222146
7/19/16,225827
7/18/16,171013
7/17/16,182192
7/16/16,216081
7/15/16,220655
7/14/16,218093
7/13/16,219034
